Ticker,Period,Dataset,Field,Value,DataType,SourceMode
CTC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
CTC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
CTC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
CTC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
CTC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
CTC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
CTC,LATEST,balance_sheet,value,242403577529.0,ACTUAL,VNSTOCK_BRONZE
CTC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
CTC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
CTC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
CTC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
CTC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
CTC,LATEST,cash_flow,value,811679567.0,ACTUAL,VNSTOCK_BRONZE
