Ticker,Period,Dataset,Field,Value,DataType,SourceMode
KVC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
KVC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
KVC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
KVC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
KVC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
KVC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
KVC,LATEST,balance_sheet,value,946693898060.0,ACTUAL,VNSTOCK_BRONZE
KVC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
KVC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
KVC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
KVC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
KVC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
KVC,LATEST,cash_flow,value,5734573735.0,ACTUAL,VNSTOCK_BRONZE
