Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SGO,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SGO,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SGO,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SGO,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SGO,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SGO,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SGO,LATEST,balance_sheet,value,289983377198.0,ACTUAL,VNSTOCK_BRONZE
SGO,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SGO,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SGO,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
SGO,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SGO,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SGO,LATEST,cash_flow,value,15080814.0,ACTUAL,VNSTOCK_BRONZE
