Ticker,Period,Dataset,Field,Value,DataType,SourceMode
BT6,LATEST,ratio,value,-0.3737358124,ACTUAL,VNSTOCK_BRONZE
BT6,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
BT6,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
BT6,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
BT6,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
BT6,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
BT6,LATEST,balance_sheet,value,1249085181696.0,ACTUAL,VNSTOCK_BRONZE
BT6,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
BT6,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
BT6,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
BT6,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
BT6,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
BT6,LATEST,cash_flow,value,3665071056.0,ACTUAL,VNSTOCK_BRONZE
