Ticker,Period,Dataset,Field,Value,DataType,SourceMode
STP,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
STP,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
STP,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
STP,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
STP,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
STP,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
STP,LATEST,balance_sheet,value,159912772419.0,ACTUAL,VNSTOCK_BRONZE
STP,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
STP,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
STP,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
STP,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
STP,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
STP,LATEST,cash_flow,value,31500139316.0,ACTUAL,VNSTOCK_BRONZE
