Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SRC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SRC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SRC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SRC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SRC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SRC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SRC,LATEST,balance_sheet,value,871750553201.0,ACTUAL,VNSTOCK_BRONZE
SRC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SRC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SRC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
SRC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SRC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SRC,LATEST,cash_flow,value,30222080636.0,ACTUAL,VNSTOCK_BRONZE
