Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SDN,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SDN,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SDN,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SDN,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SDN,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SDN,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SDN,LATEST,balance_sheet,value,75506977997.0,ACTUAL,VNSTOCK_BRONZE
SDN,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SDN,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SDN,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
SDN,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SDN,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SDN,LATEST,cash_flow,value,3499121734.0,ACTUAL,VNSTOCK_BRONZE
