Ticker,Period,Dataset,Field,Value,DataType,SourceMode
THW,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
THW,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
THW,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
THW,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
THW,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
THW,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
THW,LATEST,balance_sheet,value,89609482535.0,ACTUAL,VNSTOCK_BRONZE
THW,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
THW,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
THW,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
THW,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
THW,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
THW,LATEST,cash_flow,value,3546075330.0,ACTUAL,VNSTOCK_BRONZE
