Ticker,Period,Dataset,Field,Value,DataType,SourceMode
NHC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
NHC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
NHC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
NHC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
NHC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
NHC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
NHC,LATEST,balance_sheet,value,72868868323.0,ACTUAL,VNSTOCK_BRONZE
NHC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
NHC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
NHC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
NHC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
NHC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
NHC,LATEST,cash_flow,value,9693841030.0,ACTUAL,VNSTOCK_BRONZE
