Ticker,Period,Dataset,Field,Value,DataType,SourceMode
TCK,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
TCK,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
TCK,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
TCK,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
TCK,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
TCK,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
TCK,LATEST,balance_sheet,value,1257508804003.0,ACTUAL,VNSTOCK_BRONZE
TCK,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
TCK,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
TCK,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
TCK,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
TCK,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
TCK,LATEST,cash_flow,value,26781087699.0,ACTUAL,VNSTOCK_BRONZE
