Ticker,Period,Dataset,Field,Value,DataType,SourceMode
CTP,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
CTP,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
CTP,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
CTP,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
CTP,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
CTP,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
CTP,LATEST,balance_sheet,value,171274249429.0,ACTUAL,VNSTOCK_BRONZE
CTP,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
CTP,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
CTP,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
CTP,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
CTP,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
CTP,LATEST,cash_flow,value,3213202869.0,ACTUAL,VNSTOCK_BRONZE
