Ticker,Period,Dataset,Field,Value,DataType,SourceMode
ACC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
ACC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
ACC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
ACC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
ACC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
ACC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
ACC,LATEST,balance_sheet,value,363206756784.0,ACTUAL,VNSTOCK_BRONZE
ACC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
ACC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
ACC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
ACC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
ACC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
ACC,LATEST,cash_flow,value,43076320195.0,ACTUAL,VNSTOCK_BRONZE
